001РАСЧЕТ ТАХЕОМЕТРИЧЕСКОЙ СЪЕМКИ 
       ПО 4-МУ ПОЛИГОНУ 
TX
тх1       1,-1.5,1,1.502
тх2       0,00
1013      271,45
кол1      185,44,76.8
кол2      178,48,47.4,1.24
кол3      165,07,52.5,0.6,1,23
кол4      122,36,27.8,1.5,92,15
кол5      53,05,19.5,1.74,0,15
кол6      28,59,14.4,1.34
кол7      6,14,65.4

тх2       1,0,1,1.32
тх3       0,00
кол8      134,08,49.7,0.9,0,50
кол9      112,01,57.6
кол10     66,01,30.3,0.75,-0,38
кол11     43,16,20.0,1.00,3,06

тх3       1,3.2,0.945,1.78  
тх4       0,00
тх2       226,02
кол12     214,43,65.8,2.15,-0,50
кол13     195,18,73.4
кол14     137,02,37.6,2.5,0,09
кол15     23,17,66.6
кол16     334,48,65.8,1.8,-1,15











